"","rank","name","age","country","source","industry","2022","2021","2020","2019","2018","2017","2016","2015"
"1494",1445,"Peter Sondakh ",72,"Indonesia","investments","Finance & Investments ","$2.1 B","$1.5 B","$1.6 B",NA,"$1.9 B","$1.70 B","$1.80 B","$2.30 B"
"1495",1445,"Song Fei ",55,"China","machinery","Manufacturing ","$2.1 B","$3.8 B",NA,NA,NA,NA,NA,NA
"1496",1445,"Timothy Springer ",74,"United States","biotech","Healthcare ","$2.1 B","$2.2 B",NA,NA,NA,NA,NA,NA
"1497",1445,"Suyu Su & family ",73,"China","utilities, real estate","Real Estate ","$2.1 B",NA,NA,NA,NA,NA,NA,NA
"1498",1445,"Elizabeth Sy ",69,"Philippines","diversified","Diversified ","$2.1 B","$2.4 B","$1.6 B",NA,NA,NA,NA,NA
"1499",1445,"Sukanto Tanoto ",72,"Indonesia","diversified","Diversified ","$2.1 B","$1.4 B","$1.2 B",NA,"$1.1 B","$1.50 B","$1.30 B","$1.80 B"
"1500",1445,"Jayshree Ullal ",61,"United States","computer networking","Technology ","$2.1 B","$1.4 B","$1 B",NA,"$1.3 B",NA,NA,NA
"1501",1445,"Sunny Varkey ",64,"India","education","Service ","$2.1 B","$1.4 B","$1.3 B",NA,"$2.4 B","$1.90 B","$1.90 B","$2.00 B"
"1502",1445,"Jitendra Virwani ",56,"India","real estate","Real Estate ","$2.1 B","$2.3 B","$1.6 B",NA,"$2.2 B","$1.70 B","$1.50 B","$1.60 B"
"1503",1445,"Wang Ren-sheng ",90,"Taiwan","retail","Fashion & Retail ","$2.1 B","$1.2 B","$1.4 B",NA,NA,NA,NA,NA
"1504",1445,"Wang Wenmo ",65,"China","sports apparel","Fashion & Retail ","$2.1 B","$2.5 B","$1 B",NA,NA,NA,NA,NA
"1505",1445,"Thomas Wu ",72,"Taiwan","finance","Finance & Investments ","$2.1 B","$1.5 B","$1.2 B",NA,"$1.4 B","$1.10 B",NA,"$1.00 B"
"1506",1445,"Wu Ying ",57,"China","materials","Manufacturing ","$2.1 B","$1.7 B",NA,NA,NA,NA,NA,NA
"1507",1445,"Amy Wyss ",51,"United States","medical equipment","Healthcare ","$2.1 B","$2 B","$2 B",NA,"$2 B","$1.80 B","$1.80 B","$1.90 B"
"1508",1445,"Xiang Guangming & family ",58,"China","waste disposal","Manufacturing ","$2.1 B","$1.5 B","$1.3 B",NA,NA,NA,NA,NA
"1509",1445,"Xu Shugen ",56,"China","construction, mining machinery","Manufacturing ","$2.1 B","$3.7 B","$1.5 B",NA,NA,NA,NA,NA
"1510",1445,"Steven Meng Yang & family ",39,"China","electronics","Technology ","$2.1 B","$4.2 B",NA,NA,NA,NA,NA,NA
"1511",1445,"Clayton Zekelman ",53,"Canada","steel","Manufacturing ","$2.1 B","$1.4 B","$1.4 B",NA,NA,NA,NA,NA
"1512",1445,"Hongfei Zhao ",47,"China","software","Technology ","$2.1 B",NA,NA,NA,NA,NA,NA,NA
"1513",1513,"S. Daniel Abraham ",97,"United States","Slim-Fast","Food & Beverage ","$2 B","$2 B","$2 B",NA,"$2 B","$2.10 B","$2.10 B","$2.10 B"
"1514",1513,"Aziz Akhannouch & family ",61,"Morocco","petroleum, diversified","Diversified ","$2 B","$1.9 B","$1 B",NA,NA,NA,NA,NA
"1515",1513,"Andrey Andreev ",48,"United Kingdom","online dating","Technology ","$2 B","$1.9 B","$1.8 B",NA,"$1.5 B",NA,NA,NA
"1516",1513,"Ramon Ang ",68,"Philippines","diversified","Food & Beverage ","$2 B","$2.2 B","$1.4 B",NA,"$2.5 B","$1.40 B",NA,NA
"1517",1513,"Guilherme Benchimol ",45,"Brazil","financial services","Finance & Investments ","$2 B","$2.6 B",NA,NA,NA,NA,NA,NA
"1518",1513,"Julio Bozano ",86,"Brazil","banking","Finance & Investments ","$2 B","$2.1 B","$1.8 B",NA,"$1.8 B","$1.80 B","$1.60 B","$1.60 B"
"1519",1513,"Ryan Breslow ",27,"United States","e-commerce software","Technology ","$2 B",NA,NA,NA,NA,NA,NA,NA
"1520",1513,"Cao Jianwei ",43,"China","semiconductors","Manufacturing ","$2 B","$1.1 B",NA,NA,NA,NA,NA,NA
"1521",1513,"Herb Chambers ",80,"United States","car dealerships","Automotive ","$2 B","$2.1 B","$1.6 B",NA,"$1.4 B","$1.30 B","$1.30 B",NA
"1522",1513,"Daniel Chiu ",61,"Hong Kong","oil & gas","Energy ","$2 B","$1.7 B","$1.3 B",NA,NA,NA,NA,NA
"1523",1513,"Tim Cook ",61,"United States","Apple","Technology ","$2 B","$1.3 B",NA,NA,NA,NA,NA,NA
"1524",1513,"Brunello Cucinelli & family ",68,"Italy","fashion","Fashion & Retail ","$2 B","$1.7 B","$1.3 B",NA,NA,NA,NA,NA
"1525",1513,"Georgi Domuschiev ",49,"Bulgaria","animal health, investments","Diversified ","$2 B",NA,NA,NA,NA,NA,NA,NA
"1526",1513,"Kiril Domuschiev ",52,"Bulgaria","animal health, investments","Diversified ","$2 B",NA,NA,NA,NA,NA,NA,NA
"1527",1513,"Glenn Dubin ",64,"United States","hedge funds","Finance & Investments ","$2 B","$2 B","$2 B",NA,"$2 B","$2.00 B","$2.00 B","$2.00 B"
"1528",1513,"James Duff ",61,"United States","tires, diversified","Diversified ","$2 B","$1.4 B","$1.4 B",NA,NA,NA,NA,NA
"1529",1513,"Thomas Duff ",65,"United States","tires, diversified","Diversified ","$2 B","$1.4 B","$1.4 B",NA,NA,NA,NA,NA
"1530",1513,"Robert Duggan ",77,"United States","pharmaceuticals","Healthcare ","$2 B","$1.8 B","$1.8 B",NA,"$2 B","$2.60 B","$2.70 B","$2.30 B"
"1531",1513,"Maria Franca Fissolo ",87,"Italy","Nutella, chocolates","Food & Beverage ","$2 B","$2.2 B","$1.9 B",NA,"$2.2 B","$25.20 B","$22.10 B","$23.40 B"
"1532",1513,"Fu Mingkang & family ",59,"China","manufacturing","Manufacturing ","$2 B","$2.4 B",NA,NA,NA,NA,NA,NA
"1533",1513,"Jay Hennick ",65,"Canada","real estate finance","Finance & Investments ","$2 B",NA,NA,NA,NA,NA,NA,NA
"1534",1513,"Orion Hindawi ",42,"United States","software","Technology ","$2 B","$2 B","$1.5 B",NA,NA,"$1.00 B","$1.00 B",NA
"1535",1513,"Ji Qi ",55,"China","hotels, motels","Real Estate ","$2 B","$4.1 B","$2 B",NA,"$3.3 B","$1.40 B",NA,NA
"1536",1513,"Kim Chang-soo ",61,"South Korea","apparel","Fashion & Retail ","$2 B",NA,NA,NA,NA,NA,NA,NA
"1537",1513,"Vyacheslav Kim ",52,"Kazakhstan","fintech","Finance & Investments ","$2 B","$3.3 B",NA,NA,NA,NA,NA,NA
"1538",1513,"Kuan Kam Hon & family ",74,"Malaysia","rubber gloves","Manufacturing ","$2 B","$3.9 B","$2.6 B",NA,NA,NA,NA,NA
"1539",1513,"Egor Kulkov ",50,"Russia","pharmaceuticals","Healthcare ","$2 B",NA,NA,NA,NA,NA,NA,NA
"1540",1513,"Josh Kushner ",36,"United States","venture capital","Finance & Investments ","$2 B",NA,NA,NA,NA,NA,NA,NA
"1541",1513,"Henry Laufer ",76,"United States","hedge funds","Finance & Investments ","$2 B","$2.1 B","$2.1 B","$4.03 B","$2 B",NA,NA,NA
"1542",1513,"Thomas Lee ",78,"United States","private equity","Finance & Investments ","$2 B","$2 B","$2 B",NA,"$2.2 B","$2.20 B","$2.00 B","$2.00 B"
"1543",1513,"Michael Lee-Chin ",71,"Canada","mutual funds","Finance & Investments ","$2 B","$1.6 B","$2 B",NA,"$1.2 B",NA,NA,NA
"1544",1513,"Li Xuhui ",53,"China","soy sauce","Food & Beverage ","$2 B","$2.3 B","$1.5 B",NA,"$1.2 B",NA,NA,NA
"1545",1513,"Lim Kok Thay ",70,"Malaysia","casinos","Gambling & Casinos ","$2 B","$2.7 B","$2 B",NA,"$4.7 B",NA,NA,NA
"1546",1513,"Joao Roberto Marinho ",68,"Brazil","media","Media & Entertainment ","$2 B","$1.8 B","$1.8 B",NA,"$2.4 B","$3.70 B","$4.30 B","$8.20 B"
"1547",1513,"Jose Roberto Marinho ",66,"Brazil","media","Media & Entertainment ","$2 B","$1.8 B","$1.8 B",NA,"$2.5 B","$3.80 B","$4.30 B","$8.20 B"
"1548",1513,"Roberto Irineu Marinho ",74,"Brazil","media","Media & Entertainment ","$2 B","$1.8 B","$1.8 B",NA,"$2.5 B","$3.80 B","$4.30 B","$8.20 B"
"1549",1513,"Jim McKelvey ",56,"United States","mobile payments","Technology ","$2 B","$3.5 B",NA,NA,NA,NA,NA,NA
"1550",1513,"Robert Miller ",88,"United Kingdom","retail","Fashion & Retail ","$2 B","$2 B","$1.8 B",NA,"$2.6 B","$2.60 B","$2.20 B","$1.60 B"
"1551",1513,"David Nahmad ",74,"Monaco","art collection","Fashion & Retail ","$2 B","$2 B","$1.8 B",NA,"$1.9 B","$1.90 B","$1.90 B","$1.90 B"
"1552",1513,"Florentino Perez ",75,"Spain","construction","Construction & Engineering ","$2 B","$2.1 B","$1.2 B",NA,"$2 B","$1.80 B","$1.40 B","$2.00 B"
"1553",1513,"Jennifer Pritzker ",71,"United States","hotels, investments","Finance & Investments ","$2 B","$2 B","$1.9 B",NA,"$1.9 B","$1.80 B","$1.70 B","$1.80 B"
"1554",1513,"Linda Pritzker ",68,"United States","hotels, investments","Service ","$2 B","$2 B","$2 B",NA,"$1.8 B","$1.80 B","$1.80 B","$1.80 B"
"1555",1513,"P.V. Ramprasad Reddy ",64,"India","pharmaceuticals","Healthcare ","$2 B","$3 B","$1.4 B",NA,"$2.5 B","$2.60 B","$2.50 B","$2.30 B"
"1556",1513,"Joe Rogers, Jr. ",75,"United States","Waffle House","Food & Beverage ","$2 B","$2 B",NA,NA,NA,NA,NA,NA
"1557",1513,"Ruan Shuilong & family ",86,"China","chemicals","Manufacturing ","$2 B","$2.5 B","$1.9 B",NA,NA,NA,NA,NA
"1558",1513,"Phil Ruffin ",87,"United States","casinos, real estate","Diversified ","$2 B","$2.1 B","$2.5 B",NA,NA,NA,NA,NA
"1559",1513,"Vinod Saraf ",69,"India","chemicals","Manufacturing ","$2 B","$1.5 B",NA,NA,NA,NA,NA,NA
"1560",1513,"Maria-Elisabeth Schaeffler-Thumann ",80,"Germany","auto parts","Automotive ","$2 B","$3.7 B","$1.6 B",NA,"$6.3 B",NA,NA,NA
"1561",1513,"Genhuo Shao ",56,"China","agribusiness","Food & Beverage ","$2 B",NA,NA,NA,NA,NA,NA,NA
"1562",1513,"Shen Xiqiang & family ",74,"China","chemical","Energy ","$2 B","$2 B","$1.1 B",NA,NA,NA,NA,NA
"1563",1513,"Shi Wen-long ",94,"Taiwan","plastics","Manufacturing ","$2 B","$1.8 B","$1.6 B",NA,NA,NA,NA,NA
"1564",1513,"Thaksin Shinawatra ",72,"Thailand","investments","Finance & Investments ","$2 B","$2 B","$1.8 B",NA,"$1.8 B","$1.70 B","$1.60 B","$1.70 B"
"1565",1513,"Alexander Skorobogatko ",54,"Russia","real estate, airport","Logistics ","$2 B","$2.9 B","$3.3 B",NA,"$3.4 B","$3.00 B","$2.30 B","$2.40 B"
"1566",1513,"Sylvia Stroeher ",66,"Germany","cosmetics","Fashion & Retail ","$2 B","$2 B","$1.9 B",NA,"$2.1 B","$1.80 B","$1.80 B",NA
"1567",1513,"Wichai Thongtang ",75,"Thailand","investments","Finance & Investments ","$2 B","$2 B","$1.7 B",NA,"$1.7 B","$1.50 B","$1.50 B","$1.60 B"
"1568",1513,"Todd Wagner ",61,"United States","online media","Media & Entertainment ","$2 B","$1.9 B","$1.8 B",NA,"$1.7 B","$1.70 B","$1.50 B","$1.50 B"
"1569",1513,"Wang Jianguo ",62,"China","retail","Fashion & Retail ","$2 B",NA,NA,NA,NA,NA,NA,NA
"1570",1513,"Shuifu Wang ",67,"China","Manufacturing","Manufacturing ","$2 B",NA,NA,NA,NA,NA,NA,NA
"1571",1513,"Wenbiao Wang ",65,"China","natural gas, fertilizers","Manufacturing ","$2 B",NA,NA,NA,NA,NA,NA,NA
"1572",1513,"Kanye West ",44,"United States","music, sneakers","Fashion & Retail ","$2 B","$1.8 B",NA,NA,NA,NA,NA,NA
"1573",1513,"Evan Williams ",50,"United States","Twitter","Technology ","$2 B","$2.6 B","$1.8 B",NA,"$1.9 B","$1.40 B","$1.30 B","$2.90 B"
"1574",1513,"Zhongyi Wu ",48,"China","electronics","Technology ","$2 B",NA,NA,NA,NA,NA,NA,NA
"1575",1513,"Zhihan Xu ",49,"China","electronics","Technology ","$2 B",NA,NA,NA,NA,NA,NA,NA
"1576",1513,"Yan Zhi ",49,"China","real estate","Real Estate ","$2 B","$2 B","$2 B",NA,"$10.1 B","$5.70 B","$2.00 B","$1.20 B"
"1577",1513,"Michael Ying ",72,"Hong Kong","retail","Fashion & Retail ","$2 B","$2.4 B","$2.4 B",NA,"$2.4 B","$2.50 B","$2.40 B","$2.80 B"
"1578",1513,"Yuan Liping ",51,"Canada","pharmaceuticals","Healthcare ","$2 B","$3.6 B",NA,NA,NA,NA,NA,NA
"1579",1579,"Anu Aga ",79,"India","engineering","Construction & Engineering ","$1.9 B","$1.4 B",NA,NA,"$1.4 B",NA,NA,"$1.50 B"
"1580",1579,"Joy Alukkas ",65,"India","jewelry","Fashion & Retail ","$1.9 B",NA,NA,NA,"$1.5 B","$1.60 B","$1.10 B",NA
"1581",1579,"Sezai Bacaksiz ",72,"Turkey","diversified","Diversified ","$1.9 B","$2.3 B","$1.7 B",NA,"$1.7 B","$1.60 B","$1.30 B",NA
"1582",1579,"Baokun Bai ",52,"China","hardware","Manufacturing ","$1.9 B",NA,NA,NA,NA,NA,NA,NA
"1583",1579,"Acharya Balkrishna ",49,"India","consumer goods","Food & Beverage ","$1.9 B","$2.2 B","$1.1 B",NA,"$6.3 B","$2.50 B",NA,NA
"1584",1579,"Kiki Barki ",82,"Indonesia","coal","Energy ","$1.9 B",NA,NA,NA,NA,NA,NA,NA
"1585",1579,"John Bloor ",78,"United Kingdom","real estate, manufacturing","Diversified ","$1.9 B","$1.8 B","$1.6 B",NA,"$1.6 B","$1.00 B","$1.10 B",NA
"1586",1579,"Nicola Bulgari ",81,"Italy","luxury goods","Fashion & Retail ","$1.9 B","$1.9 B","$1.4 B",NA,"$1.7 B","$1.30 B","$1.20 B","$1.30 B"
"1587",1579,"Alejandro Bulgheroni ",77,"Argentina","oil & gas","Energy ","$1.9 B","$3.3 B","$2.7 B",NA,"$3 B","$3.30 B",NA,NA
"1588",1579,"Chen Kaichen ",64,"China","household chemicals","Manufacturing ","$1.9 B","$1.6 B",NA,NA,NA,NA,NA,NA
"1589",1579,"Fernando Chico Pardo ",70,"Mexico","airport management","Service ","$1.9 B","$1.4 B",NA,NA,NA,NA,NA,NA
"1590",1579,"Jose Luis Cutrale ",75,"Brazil","orange juice","Food & Beverage ","$1.9 B","$2.5 B","$1.9 B",NA,"$2.4 B","$2.20 B","$2.50 B","$2.50 B"
"1591",1579,"D. Leopoldo Del Pino ",59,"Spain","construction","Construction & Engineering ","$1.9 B","$1.8 B",NA,NA,NA,NA,NA,NA
"1592",1579,"James Dinan ",62,"United States","hedge funds","Finance & Investments ","$1.9 B","$1.9 B","$2.2 B",NA,"$1.9 B","$1.80 B","$2.00 B","$2.40 B"
"1593",1579,"Francois Feuillet & family ",73,"France","motorhomes, RVs","Automotive ","$1.9 B",NA,NA,NA,NA,NA,NA,NA
"1594",1579,"Guangming Fu & family ",68,"China","poultry","Food & Beverage ","$1.9 B",NA,NA,NA,NA,NA,NA,NA
"1595",1579,"Mario Gabelli ",80,"United States","money management","Finance & Investments ","$1.9 B","$1.8 B","$1.5 B",NA,"$1.6 B","$1.50 B","$1.40 B","$1.70 B"
"1596",1579,"Reinold Geiger ",74,"Austria","beauty products","Fashion & Retail ","$1.9 B","$1.8 B",NA,NA,"$1.5 B","$1.40 B","$1.30 B","$1.60 B"
"1597",1579,"He Zhenggang ",68,"China","chemicals","Manufacturing ","$1.9 B",NA,NA,NA,NA,NA,NA,NA
"1598",1579,"Roberto Hernandez Ramirez ",80,"Mexico","banking, investments","Finance & Investments ","$1.9 B","$1.9 B","$1.7 B",NA,"$1.9 B","$1.80 B","$1.70 B","$1.80 B"
"1599",1579,"Hoi Kin Hong ",69,"Macau","real estate","Real Estate ","$1.9 B","$3.1 B","$1.9 B",NA,"$1.4 B","$1.00 B",NA,NA
"1600",1579,"Huang Qiaoling ",63,"China","amusement parks","Media & Entertainment ","$1.9 B","$2.9 B","$1.8 B",NA,"$1.5 B","$1.50 B","$1.90 B",NA
"1601",1579,"Willis Johnson ",74,"United States","damaged cars","Automotive ","$1.9 B","$1.8 B",NA,NA,NA,NA,NA,NA
"1602",1579,"Keeree Kanjanapas ",71,"Thailand","transportation","Real Estate ","$1.9 B","$2.1 B","$1.7 B",NA,"$1.5 B","$1.40 B","$1.30 B","$1.70 B"
"1603",1579,"Kim Dae-il ",42,"South Korea","mobile gaming","Technology ","$1.9 B","$1.2 B",NA,NA,"$1 B",NA,NA,NA
"1604",1579,"Kim Hyoung-nyon ",46,"South Korea","fintech","Finance & Investments ","$1.9 B",NA,NA,NA,NA,NA,NA,NA
"1605",1579,"Andrei Kozitsyn ",61,"Russia","metals","Metals & Mining ","$1.9 B","$6.3 B","$4.8 B",NA,"$4.8 B","$4.30 B","$2.40 B","$2.00 B"
"1606",1579,"Thomas Kwok ",70,"Hong Kong","real estate","Real Estate ","$1.9 B","$2.2 B","$1.8 B","$12.4 B",NA,NA,NA,NA
"1607",1579,"Lei Jufang ",69,"China","pharmaceuticals","Healthcare ","$1.9 B","$1.8 B","$1.4 B",NA,"$1.6 B","$2.60 B","$1.60 B","$1.40 B"
"1608",1579,"David Lichtenstein ",60,"United States","real estate","Real Estate ","$1.9 B","$1.7 B","$1.7 B",NA,"$1.7 B","$1.50 B","$1.40 B",NA
"1609",1579,"Lin Dingqiang & family ",55,"Hong Kong","real estate","Real Estate ","$1.9 B","$1.9 B","$1 B",NA,NA,NA,NA,NA
"1610",1579,"Mikhail Lomtadze ",46,"Georgia","fintech","Finance & Investments ","$1.9 B","$3.2 B",NA,NA,NA,NA,NA,NA
"1611",1579,"Melissa Ma ",64,"China","Internet search","Technology ","$1.9 B","$4 B","$1.3 B",NA,"$3.4 B",NA,NA,NA
"1612",1579,"Yusaku Maezawa ",46,"Japan","online retail","Technology ","$1.9 B","$1.9 B","$1.9 B",NA,"$2.9 B","$3.10 B","$1.60 B","$1.30 B"
"1613",1579,"Katarina Martinson ",40,"Sweden","investments","Diversified ","$1.9 B","$2.1 B","$1.5 B",NA,"$1.3 B","$1.10 B",NA,NA
"1614",1579,"Shouliang Miao ",67,"China","real estate","Real Estate ","$1.9 B",NA,NA,NA,NA,NA,NA,NA
"1615",1579,"Romano Minozzi ",87,"Italy","utilities, diversified","Diversified ","$1.9 B","$1.8 B","$1.6 B",NA,NA,NA,NA,NA
"1616",1579,"Pedro Moreira Salles ",62,"Brazil","banking, minerals","Diversified ","$1.9 B","$2.5 B","$2 B","$6.16 B","$5.1 B","$3.20 B","$2.80 B","$2.10 B"
"1617",1579,"Alexander Nesis ",59,"Russia","metals, banking, fertilizers","Finance & Investments ","$1.9 B","$2.9 B","$2.2 B",NA,"$1.9 B","$2.40 B","$2.90 B","$2.50 B"
"1618",1579,"Nguyen Dang Quang ",58,"Vietnam","consumer products, banking","Food & Beverage ","$1.9 B","$1.2 B",NA,NA,NA,NA,NA,NA
"1619",1579,"Oei Hong Leong ",74,"Singapore","investments","Finance & Investments ","$1.9 B","$1.8 B","$1.3 B",NA,"$1.4 B","$1.20 B","$1.10 B",NA
"1620",1579,"Nihat Ozdemir ",72,"Turkey","diversified","Diversified ","$1.9 B","$2.3 B","$1.7 B",NA,"$1.7 B","$1.60 B","$1.30 B",NA
"1621",1579,"Gretel Packer ",56,"Australia","casinos","Media & Entertainment ","$1.9 B","$2.3 B","$1.5 B",NA,"$1.1 B",NA,NA,NA
"1622",1579,"Benjamin Zhengmin Pan & family ",52,"China","electronics","Technology ","$1.9 B","$3.4 B","$3 B",NA,NA,NA,NA,NA
"1623",1579,"Victor Pinchuk ",61,"Ukraine","steel pipes, diversified","Metals & Mining ","$1.9 B","$2.5 B","$1.3 B",NA,"$1.4 B","$1.10 B","$1.20 B","$1.50 B"
"1624",1579,"Alexander Ponomarenko ",57,"Russia","real estate, airport","Logistics ","$1.9 B","$2.9 B","$3.3 B",NA,"$3.4 B","$3.00 B","$2.30 B","$2.40 B"
"1625",1579,"Qi Jinxing ",60,"China","real estate","Real Estate ","$1.9 B","$1.4 B","$1.1 B",NA,"$1.7 B","$1.50 B","$1.50 B",NA
"1626",1579,"Larry Robbins ",52,"United States","hedge funds","Finance & Investments ","$1.9 B","$1.9 B","$1.9 B",NA,"$2.5 B","$2.00 B","$2.00 B","$2.20 B"
"1627",1579,"Dwight Schar ",80,"United States","homebuilding, NFL team","Construction & Engineering ","$1.9 B",NA,NA,NA,NA,NA,NA,NA
"1628",1579,"Shi Yifeng ",48,"China","medical cosmetics","Healthcare ","$1.9 B","$1.8 B",NA,NA,NA,NA,NA,NA
"1629",1579,"Sun Hongjun ",48,"China","semiconductors","Technology ","$1.9 B",NA,NA,NA,NA,NA,NA,NA
"1630",1579,"Anand Surana ",51,"India","pharmaceuticals","Healthcare ","$1.9 B",NA,NA,NA,NA,NA,NA,NA
"1631",1579,"Dilip Surana ",56,"India","pharmaceuticals","Healthcare ","$1.9 B",NA,NA,NA,NA,NA,NA,NA
"1632",1579,"Djoko Susanto ",72,"Indonesia","supermarkets","Fashion & Retail ","$1.9 B","$1.7 B","$1.2 B",NA,"$1.3 B","$1.30 B","$1.30 B","$1.10 B"
"1633",1579,"Sze Man Bok ",72,"China","hygiene products","Manufacturing ","$1.9 B","$2.3 B","$2.2 B",NA,"$2.5 B","$2.20 B","$2.10 B","$2.80 B"
"1634",1579,"Alain Taravella ",74,"France","real estate development","Real Estate ","$1.9 B","$2 B","$1.3 B",NA,"$2.2 B","$1.50 B","$1.40 B","$1.30 B"
"1635",1579,"Martin Viessmann ",68,"Germany","heating and cooling equipment","Manufacturing ","$1.9 B","$1.8 B","$1.1 B",NA,"$5.7 B","$4.30 B","$3.30 B","$3.50 B"
"1636",1579,"Georg von Opel ",55,"Switzerland","real estate, investments","Finance & Investments ","$1.9 B","$2 B","$1.9 B",NA,"$2.1 B","$2.00 B","$2.00 B","$2.00 B"
"1637",1579,"Changtian Wang ",56,"China","TV, movie production","Media & Entertainment ","$1.9 B",NA,NA,NA,NA,NA,NA,NA
"1638",1579,"Wang Chaobin ",66,"China","real estate","Real Estate ","$1.9 B","$2 B","$1.9 B",NA,"$1.7 B","$1.30 B","$1.30 B",NA
"1639",1579,"Wang Chou-hsiong ",81,"Taiwan","footwear","Manufacturing ","$1.9 B","$2.1 B","$1.1 B",NA,NA,NA,NA,NA
"1640",1579,"Wang Xiaoshen ",53,"China","lithium","Manufacturing ","$1.9 B","$1.4 B",NA,NA,NA,NA,NA,NA
"1641",1579,"Wei Yin-Heng ",63,"Taiwan","food, beverages","Food & Beverage ","$1.9 B","$1.9 B","$1.5 B",NA,"$1.6 B","$1.30 B","$1.40 B","$2.00 B"
"1642",1579,"Xue Xiangdong & family ",63,"China","software","Technology ","$1.9 B","$2 B","$2.9 B",NA,NA,NA,NA,NA
"1643",1579,"Yuan Fugen & family ",71,"China","metal processing","Manufacturing ","$1.9 B","$2.1 B","$1.4 B",NA,NA,NA,NA,NA
"1644",1579,"David Zalik ",48,"United States","financial technology","Technology ","$1.9 B","$1.6 B","$1.4 B",NA,"$2.5 B",NA,NA,NA
"1645",1645,"Leslie Alexander ",78,"United States","sports team","Sports ","$1.8 B","$1.8 B","$1.7 B",NA,"$2.1 B","$1.90 B","$1.50 B","$1.60 B"
"1646",1645,"Igor Altushkin ",51,"Russia","metals","Metals & Mining ","$1.8 B","$7 B","$3.1 B",NA,"$3.4 B","$2.00 B","$1.40 B","$1.60 B"
"1647",1645,"Roberto Angelini Rossi ",73,"Chile","forestry, mining","Diversified ","$1.8 B","$2 B","$1.3 B",NA,"$2.7 B","$1.70 B","$1.20 B","$1.60 B"
"1648",1645,"Nigel Austin ",51,"Australia","retail","Fashion & Retail ","$1.8 B","$1.4 B","$1.5 B",NA,"$1.4 B",NA,NA,NA
"1649",1645,"Bang Jun-hyuk ",53,"South Korea","online gaming","Media & Entertainment ","$1.8 B","$2.3 B","$1.5 B",NA,"$2.6 B","$1.10 B",NA,NA
"1650",1645,"O. Francis Biondi ",57,"United States","hedge funds","Finance & Investments ","$1.8 B","$1.8 B","$1.6 B",NA,"$1.6 B","$1.60 B","$1.60 B","$1.20 B"
"1651",1645,"Chang Byung-gyu ",48,"South Korea","online games","Technology ","$1.8 B","$1 B",NA,NA,NA,NA,NA,NA
"1652",1645,"Chang Kuo-Ming ",64,"Taiwan","Transportation","Logistics ","$1.8 B",NA,NA,NA,NA,NA,NA,NA
"1653",1645,"Chen Gang ",54,"China","solar energy","Energy ","$1.8 B","$1.2 B",NA,NA,NA,NA,NA,NA
"1654",1645,"Liying Chen ",46,"China","package delivery","Logistics ","$1.8 B",NA,NA,NA,NA,NA,NA,NA
"1655",1645,"Chen Xueli ",70,"China","pharmaceuticals","Healthcare ","$1.8 B","$2.4 B","$2.1 B",NA,"$1.7 B","$1.60 B",NA,NA
"1656",1645,"Chi Yufeng ",51,"China","software","Technology ","$1.8 B","$3.1 B","$2.1 B",NA,"$1.4 B","$1.20 B",NA,NA
"1657",1645,"Mark Coombs ",61,"United Kingdom","finance","Finance & Investments ","$1.8 B","$2.4 B","$1.7 B",NA,"$2.2 B","$1.80 B","$1.40 B","$1.90 B"
"1658",1645,"Tench Coxe ",64,"United States","venture capital","Finance & Investments ","$1.8 B",NA,NA,NA,NA,NA,NA,NA
"1659",1645,"John de Mol ",67,"Netherlands","TV programs","Media & Entertainment ","$1.8 B","$2 B","$1.7 B",NA,"$2.1 B","$1.50 B","$1.50 B","$1.80 B"
"1660",1645,"Alfredo Egydio Arruda Villela Filho ",52,"Brazil","banking","Finance & Investments ","$1.8 B","$1.6 B","$1.6 B",NA,"$2.4 B","$1.90 B","$1.00 B","$1.70 B"
"1661",1645,"Ibrahim Erdemoglu ",59,"Turkey","carpet","Manufacturing ","$1.8 B","$2 B",NA,NA,NA,NA,NA,NA
"1662",1645,"Philip Fayer ",64,"Canada","online payments","Finance & Investments ","$1.8 B","$1.7 B",NA,NA,NA,NA,NA,NA
"1663",1645,"Paul Foster ",64,"United States","oil refining","Energy ","$1.8 B","$1.7 B","$1.4 B",NA,"$1.6 B","$1.40 B","$1.20 B","$1.50 B"
"1664",1645,"James France ",77,"United States","Nascar, racing","Sports ","$1.8 B","$1.8 B","$1.8 B",NA,"$1.8 B","$2.00 B","$2.00 B","$2.10 B"
"1665",1645,"Yasuhiro Fukushima ",74,"Japan","video games","Media & Entertainment ","$1.8 B","$2 B","$1.5 B",NA,"$1.5 B","$1.20 B",NA,NA
"1666",1645,"Zhongru Gan ",73,"China","pharmaceuticals","Healthcare ","$1.8 B",NA,NA,NA,NA,NA,NA,NA
"1667",1645,"Rahul Gautam ",69,"India","mattresses","Fashion & Retail ","$1.8 B","$1.1 B",NA,NA,NA,NA,NA,NA
"1668",1645,"Ali Ghodsi ",43,"Sweden","data analytics","Technology ","$1.8 B","$1.8 B",NA,NA,NA,NA,NA,NA
"1669",1645,"Giammaria Giuliani ",44,"Switzerland","pharmaceuticals","Healthcare ","$1.8 B","$1.7 B",NA,NA,NA,NA,NA,NA
"1670",1645,"Christopher Goldsbury ",79,"United States","salsa","Food & Beverage ","$1.8 B","$1.7 B","$1.7 B",NA,"$1.6 B","$1.60 B","$1.50 B","$1.50 B"
